,m1,m2,m4,m6,m7,m8,m9,m11,m13,m14,m15,m16,m17,m18,m19,m20
Test025,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test029,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Test032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test001,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0
Test031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test016,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test015,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Test006,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Test018,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test017,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test007,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Test021,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test020,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test026,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test011,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test013,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test005,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Test008,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Test024,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test004,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Test027,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test014,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test019,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test002,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0
Test023,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test022,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test010,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Test030,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
Test028,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
Test009,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Test012,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
